cellphone_id,brand,model,operating system,internal memory,RAM,performance,main camera,selfie camera,battery size,screen size,weight,price,release date,user_id,cellphone_id,rating,user_id,age,gender,occupation
0,Apple,iPhone SE (2022),iOS,128,4,7.23,12,7,2018,4.7,144,429,18-03-2022,0,30,1,0,38,Female,Data analyst
1,Apple,iPhone 13 Mini,iOS,128,4,7.72,12,12,2438,5.4,141,699,24-09-2021,0,5,3,1,40,Female,team worker in it
2,Apple,iPhone 13,iOS,128,4,7.75,12,12,3240,6.1,174,699,24-09-2021,0,10,9,6,55,Female,IT
3,Apple,iPhone 13 Pro,iOS,256,6,7.94,12,12,3065,6.1,204,999,24-09-2021,0,9,3,8,25,Female,Manager
4,Apple,iPhone 13 Pro Max,iOS,256,6,8.01,12,12,4352,6.7,240,1199,24-09-2021,0,23,2,10,23,Male,worker
5,Apple,iPhone XR,iOS,64,3,4.22,12,7,2942,6.1,194,236,26-10-2018,0,8,2,12,28,Female,Accountant
6,Asus,Zenfone 8,Android,128,8,6.76,64,12,4000,5.9,169,599,12-05-2021,0,22,1,16,31,Female,sales
7,Samsung,Galaxy A13,Android,32,3,1.36,50,8,5000,6.6,196,154,23-03-2022,0,16,2,24,57,Female,it
8,Samsung,Galaxy A32,Android,64,4,2.2,48,13,5000,6.5,205,199,22-01-2021,0,19,1,25,27,Female,Team leader
9,Samsung,Galaxy A53,Android,128,6,3.79,64,32,5000,6.5,189,312,24-03-2022,0,3,10,26,28,Female,FINANCE
10,Samsung,Galaxy S22,Android,128,8,8.81,50,10,3700,6.1,167,528,25-02-2022,1,7,8,27,29,Female,Finance
11,Samsung,Galaxy S22 Plus,Android,128,8,7.22,50,10,4500,6.6,195,899,25-02-2022,1,31,7,28,33,Female,Sales
12,Samsung,Galaxy S22 Ultra,Android,128,8,9.68,108,40,5000,6.8,228,840,25-02-2022,1,18,5,29,61,Female,Ops Manager
13,Samsung,Galaxy Z Flip 3,Android,128,8,5.96,12,10,3300,6.7,183,899,11-08-2021,1,3,10,30,34,Male,ICT Officer
14,Samsung,Galaxy Z Fold 3,Android,256,12,6.35,12,4,4400,7.6,271,1799,11-08-2021,1,32,6,32,39,Male,QA Software Manager
15,Google,Pixel 6  ,Android,128,8,6.76,50,8,4614,6.4,207,499,28-10-2021,1,28,8,33,30,Female,Healthcare
16,Google,Pixel 6a,Android,128,6,6.88,12,8,4410,6.1,178,449,21-07-2021,1,16,7,35,41,Male,self employed
17,Google,Pixel 6 Pro ,Android,128,12,7.19,50,11,5003,6.7,210,699,28-10-2021,1,15,8,36,42,Male,banking
18,OnePlus,Nord N20,Android,128,6,3.8,64,16,4500,6.4,173,299,28-04-2022,1,4,7,37,34,Female,nurse
19,OnePlus,Nord 2T,Android,128,8,6.04,50,32,4500,6.4,190,379,21-05-2022,1,8,8,38,42,Male,executive
20,OnePlus,10 Pro,Android,128,8,8.86,48,32,5000,6.7,201,780,11-01-2022,6,13,5,52,25,Male,software developer
21,OnePlus,10T,Android,128,8,11,50,16,4800,6.7,204,649,06-08-2022,6,31,6,53,38,-Select Gender-,null
22,Oppo,Find X5 Pro,Android,256,12,10.12,50,32,5000,6.7,218,987,14-03-2022,6,23,8,56,50,Female,manager
23,Vivo,X80 Pro,Android,256,8,9.81,50,32,4700,6.7,215,872,29-04-2022,6,1,2,60,48,Male,IT
24,Xiaomi,Redmi Note 11,Android,128,4,2.44,50,13,5000,6.4,179,174,09-02-2022,6,8,7,74,25,Male,Manager
25,Xiaomi,11T Pro,Android,256,8,7.59,108,16,5000,6.6,204,435,05-10-2021,6,19,1,79,25,Male,Manager
26,Xiaomi,12 Pro,Android,128,8,9.85,50,32,4600,6.7,204,618,31-12-2021,6,32,10,80,25,Male,worker
27,Xiaomi,Poco F4,Android,128,8,6.98,64,20,4500,6.6,195,428,27-07-2022,6,7,9,84,33,Male,Warehousing
28,Sony,Xperia Pro,Android,512,12,6.82,12,8,4000,6.5,225,1998,27-01-2021,6,27,4,85,33,Female,Sales
29,Motorola,Moto G Stylus (2022),Android,128,6,2.3,50,16,5000,6.8,215,500,27-04-2022,6,16,3,91,34,Male,WEB DESIGN
30,Motorola,Moto G Play (2021),Android,32,3,1.42,13,5,5000,6.5,204,159,14-01-2021,8,29,6,95,28,Male,Information Technology
31,Motorola,Moto G Pure,Android,32,3,1.02,13,5,4000,6.5,188,129,14-10-2021,8,22,9,98,25,Female,Technical Engineer
32,Motorola,Moto G Power (2022),Android,64,4,1.35,50,8,5000,6.5,203,189,22-02-2022,8,32,9,99,30,Male,information
,,,,,,,,,,,,,,8,25,8,100,43,Female,IT
,,,,,,,,,,,,,,8,20,7,104,32,Male,Administrator
,,,,,,,,,,,,,,8,0,5,105,25,Female,System Administrator
,,,,,,,,,,,,,,8,11,6,106,32,Male,manager
,,,,,,,,,,,,,,8,17,8,110,36,Male,Marketing
,,,,,,,,,,,,,,8,21,5,111,37,Female,EDUCATION
,,,,,,,,,,,,,,8,27,8,112,30,Female,Security
,,,,,,,,,,,,,,10,23,9,113,56,Female,retail
,,,,,,,,,,,,,,10,5,3,114,46,Male,technician
,,,,,,,,,,,,,,10,6,7,115,37,Female,homemaker
,,,,,,,,,,,,,,10,4,9,116,32,Male,teacher
,,,,,,,,,,,,,,10,14,10,119,49,Female,president transportation company
,,,,,,,,,,,,,,10,3,9,120,50,Female,manager
,,,,,,,,,,,,,,10,12,8,123,32,Male,manager
,,,,,,,,,,,,,,10,16,8,124,50,Female,manager
,,,,,,,,,,,,,,10,27,8,126,27,Female,Information Technology
,,,,,,,,,,,,,,10,11,8,128,50,Female,manager
,,,,,,,,,,,,,,12,24,4,129,61,Female,Information Technology
,,,,,,,,,,,,,,12,10,9,137,29,Female,Information Technology
,,,,,,,,,,,,,,12,16,7,140,29,Male,Information Technology
,,,,,,,,,,,,,,12,13,6,142,32,Male,manager
,,,,,,,,,,,,,,12,6,6,143,32,Male,manager
,,,,,,,,,,,,,,12,32,5,144,38,-Select Gender-,ADMINISTRATIVE OFFICER
,,,,,,,,,,,,,,12,27,4,145,32,Male,manager
,,,,,,,,,,,,,,12,20,7,148,31,Female,Data analyst
,,,,,,,,,,,,,,12,31,3,152,30,Female,Security
,,,,,,,,,,,,,,12,23,6,154,32,Male,Information technology
,,,,,,,,,,,,,,16,15,10,156,39,Female,master degree
,,,,,,,,,,,,,,16,24,3,160,31,Male,construction
,,,,,,,,,,,,,,16,0,1,162,50,Male,Manager
,,,,,,,,,,,,,,16,30,2,164,21,Male,accountant
,,,,,,,,,,,,,,16,27,4,169,38,-Select Gender-,Manager
,,,,,,,,,,,,,,16,11,8,178,25,Male,software developer
,,,,,,,,,,,,,,16,26,5,183,35,Male,team leader
,,,,,,,,,,,,,,16,13,7,194,46,Male,Administrative officer
,,,,,,,,,,,,,,16,9,6,200,48,Male,IT
,,,,,,,,,,,,,,16,6,2,203,38,Female,IT
,,,,,,,,,,,,,,24,20,9,204,30,Female,Administrative officer
,,,,,,,,,,,,,,24,28,8,208,29,Male,Information Technology
,,,,,,,,,,,,,,24,3,10,211,37,Female,SALES MANAGER
,,,,,,,,,,,,,,24,21,8,215,42,Female,Purchase Manager
,,,,,,,,,,,,,,24,22,7,226,27,Female,Information Technology
,,,,,,,,,,,,,,24,6,7,227,32,Male,Information technology
,,,,,,,,,,,,,,24,18,8,230,29,Female,Information Technology
,,,,,,,,,,,,,,24,10,9,231,58,Male,ADMINISTRATIVE OFFICER
,,,,,,,,,,,,,,24,23,7,232,46,Male,writer
,,,,,,,,,,,,,,24,15,10,233,31,Male,construction
,,,,,,,,,,,,,,25,2,9,234,32,Female,registered
,,,,,,,,,,,,,,25,5,6,235,56,Male,business
,,,,,,,,,,,,,,25,14,2,236,33,Male,Transportation
,,,,,,,,,,,,,,25,30,5,237,33,Male,Education
,,,,,,,,,,,,,,25,12,3,238,30,Male,Security
,,,,,,,,,,,,,,25,32,9,240,37,Female,SALES MANAGER
,,,,,,,,,,,,,,25,8,10,242,35,Male,HEALTHARE
,,,,,,,,,,,,,,25,13,1,243,42,Female,Manager
,,,,,,,,,,,,,,25,16,9,244,41,Male,MANAGER
,,,,,,,,,,,,,,25,20,5,245,35,Male,HEALTHCARE
,,,,,,,,,,,,,,26,20,6,246,45,Female,MANAGER
,,,,,,,,,,,,,,26,32,9,251,39,Male,Computer technician
,,,,,,,,,,,,,,26,3,10,252,58,Male,ADMINISTRATIVE OFFICER
,,,,,,,,,,,,,,26,15,7,253,40,Female,Information Technology
,,,,,,,,,,,,,,26,23,6,254,25,Female,software developer
,,,,,,,,,,,,,,26,25,9,255,25,Male,software developer
,,,,,,,,,,,,,,26,22,10,256,49,Male,Information Technology
,,,,,,,,,,,,,,26,12,8,257,25,Female,Manager
,,,,,,,,,,,,,,26,18,5,258,25,Male,Executive Manager
,,,,,,,,,,,,,,26,4,9,,,,
,,,,,,,,,,,,,,27,11,8,,,,
,,,,,,,,,,,,,,27,8,8,,,,
,,,,,,,,,,,,,,27,19,6,,,,
,,,,,,,,,,,,,,27,24,7,,,,
,,,,,,,,,,,,,,27,27,7,,,,
,,,,,,,,,,,,,,27,18,6,,,,
,,,,,,,,,,,,,,27,6,8,,,,
,,,,,,,,,,,,,,27,21,9,,,,
,,,,,,,,,,,,,,27,32,8,,,,
,,,,,,,,,,,,,,27,4,10,,,,
,,,,,,,,,,,,,,28,28,1,,,,
,,,,,,,,,,,,,,28,31,1,,,,
,,,,,,,,,,,,,,28,5,10,,,,
,,,,,,,,,,,,,,28,8,1,,,,
,,,,,,,,,,,,,,28,14,1,,,,
,,,,,,,,,,,,,,28,17,1,,,,
,,,,,,,,,,,,,,28,22,1,,,,
,,,,,,,,,,,,,,28,29,1,,,,
,,,,,,,,,,,,,,28,3,10,,,,
,,,,,,,,,,,,,,28,25,1,,,,
,,,,,,,,,,,,,,29,14,5,,,,
,,,,,,,,,,,,,,29,8,7,,,,
,,,,,,,,,,,,,,29,19,5,,,,
,,,,,,,,,,,,,,29,10,9,,,,
,,,,,,,,,,,,,,29,7,6,,,,
,,,,,,,,,,,,,,29,24,8,,,,
,,,,,,,,,,,,,,29,2,6,,,,
,,,,,,,,,,,,,,29,16,7,,,,
,,,,,,,,,,,,,,29,26,5,,,,
,,,,,,,,,,,,,,29,5,4,,,,
,,,,,,,,,,,,,,30,17,8,,,,
,,,,,,,,,,,,,,30,14,6,,,,
,,,,,,,,,,,,,,30,19,7,,,,
,,,,,,,,,,,,,,30,15,6,,,,
,,,,,,,,,,,,,,30,26,9,,,,
,,,,,,,,,,,,,,30,9,4,,,,
,,,,,,,,,,,,,,30,0,4,,,,
,,,,,,,,,,,,,,30,16,8,,,,
,,,,,,,,,,,,,,30,4,7,,,,
,,,,,,,,,,,,,,30,2,5,,,,
,,,,,,,,,,,,,,32,12,1,,,,
,,,,,,,,,,,,,,32,2,9,,,,
,,,,,,,,,,,,,,32,13,1,,,,
,,,,,,,,,,,,,,32,26,9,,,,
,,,,,,,,,,,,,,32,11,1,,,,
,,,,,,,,,,,,,,32,31,3,,,,
,,,,,,,,,,,,,,32,20,2,,,,
,,,,,,,,,,,,,,32,30,1,,,,
,,,,,,,,,,,,,,32,6,2,,,,
,,,,,,,,,,,,,,32,10,8,,,,
,,,,,,,,,,,,,,33,30,10,,,,
,,,,,,,,,,,,,,33,29,9,,,,
,,,,,,,,,,,,,,33,13,8,,,,
,,,,,,,,,,,,,,33,6,8,,,,
,,,,,,,,,,,,,,33,2,10,,,,
,,,,,,,,,,,,,,33,19,10,,,,
,,,,,,,,,,,,,,33,9,10,,,,
,,,,,,,,,,,,,,33,10,10,,,,
,,,,,,,,,,,,,,33,25,10,,,,
,,,,,,,,,,,,,,33,32,8,,,,
,,,,,,,,,,,,,,35,19,7,,,,
,,,,,,,,,,,,,,35,12,2,,,,
,,,,,,,,,,,,,,35,26,2,,,,
,,,,,,,,,,,,,,35,17,3,,,,
,,,,,,,,,,,,,,35,23,2,,,,
,,,,,,,,,,,,,,35,0,6,,,,
,,,,,,,,,,,,,,35,18,9,,,,
,,,,,,,,,,,,,,35,27,7,,,,
,,,,,,,,,,,,,,35,6,5,,,,
,,,,,,,,,,,,,,35,4,1,,,,
,,,,,,,,,,,,,,36,2,10,,,,
,,,,,,,,,,,,,,36,26,1,,,,
,,,,,,,,,,,,,,36,6,1,,,,
,,,,,,,,,,,,,,36,1,6,,,,
,,,,,,,,,,,,,,36,5,6,,,,
,,,,,,,,,,,,,,36,10,4,,,,
,,,,,,,,,,,,,,36,22,4,,,,
,,,,,,,,,,,,,,36,14,1,,,,
,,,,,,,,,,,,,,36,9,4,,,,
,,,,,,,,,,,,,,36,17,2,,,,
,,,,,,,,,,,,,,37,24,6,,,,
,,,,,,,,,,,,,,37,32,5,,,,
,,,,,,,,,,,,,,37,28,10,,,,
,,,,,,,,,,,,,,37,7,1,,,,
,,,,,,,,,,,,,,37,18,5,,,,
,,,,,,,,,,,,,,37,31,2,,,,
,,,,,,,,,,,,,,37,23,9,,,,
,,,,,,,,,,,,,,37,30,1,,,,
,,,,,,,,,,,,,,37,13,5,,,,
,,,,,,,,,,,,,,37,15,5,,,,
,,,,,,,,,,,,,,38,1,7,,,,
,,,,,,,,,,,,,,38,30,4,,,,
,,,,,,,,,,,,,,38,5,8,,,,
,,,,,,,,,,,,,,38,24,7,,,,
,,,,,,,,,,,,,,38,10,7,,,,
,,,,,,,,,,,,,,38,15,2,,,,
,,,,,,,,,,,,,,38,2,8,,,,
,,,,,,,,,,,,,,38,11,7,,,,
,,,,,,,,,,,,,,38,6,5,,,,
,,,,,,,,,,,,,,38,25,6,,,,
,,,,,,,,,,,,,,52,20,10,,,,
,,,,,,,,,,,,,,52,0,5,,,,
,,,,,,,,,,,,,,52,13,4,,,,
,,,,,,,,,,,,,,52,27,6,,,,
,,,,,,,,,,,,,,52,26,8,,,,
,,,,,,,,,,,,,,52,8,1,,,,
,,,,,,,,,,,,,,52,5,2,,,,
,,,,,,,,,,,,,,52,3,2,,,,
,,,,,,,,,,,,,,52,24,5,,,,
,,,,,,,,,,,,,,52,15,5,,,,
,,,,,,,,,,,,,,53,32,9,,,,
,,,,,,,,,,,,,,53,5,8,,,,
,,,,,,,,,,,,,,53,15,10,,,,
,,,,,,,,,,,,,,53,4,9,,,,
,,,,,,,,,,,,,,53,26,9,,,,
,,,,,,,,,,,,,,53,9,8,,,,
,,,,,,,,,,,,,,53,7,8,,,,
,,,,,,,,,,,,,,53,29,8,,,,
,,,,,,,,,,,,,,53,25,9,,,,
,,,,,,,,,,,,,,53,17,8,,,,
,,,,,,,,,,,,,,56,15,5,,,,
,,,,,,,,,,,,,,56,32,3,,,,
,,,,,,,,,,,,,,56,30,2,,,,
,,,,,,,,,,,,,,56,5,9,,,,
,,,,,,,,,,,,,,56,25,3,,,,
,,,,,,,,,,,,,,56,1,9,,,,
,,,,,,,,,,,,,,56,12,5,,,,
,,,,,,,,,,,,,,56,8,10,,,,
,,,,,,,,,,,,,,56,17,6,,,,
,,,,,,,,,,,,,,56,13,9,,,,
,,,,,,,,,,,,,,60,16,6,,,,
,,,,,,,,,,,,,,60,11,3,,,,
,,,,,,,,,,,,,,60,32,8,,,,
,,,,,,,,,,,,,,60,9,5,,,,
,,,,,,,,,,,,,,60,28,1,,,,
,,,,,,,,,,,,,,60,26,9,,,,
,,,,,,,,,,,,,,60,15,4,,,,
,,,,,,,,,,,,,,60,31,10,,,,
,,,,,,,,,,,,,,60,13,2,,,,
,,,,,,,,,,,,,,60,29,7,,,,
,,,,,,,,,,,,,,74,26,8,,,,
,,,,,,,,,,,,,,74,25,7,,,,
,,,,,,,,,,,,,,74,17,7,,,,
,,,,,,,,,,,,,,74,11,8,,,,
,,,,,,,,,,,,,,74,21,7,,,,
,,,,,,,,,,,,,,74,8,6,,,,
,,,,,,,,,,,,,,74,30,6,,,,
,,,,,,,,,,,,,,74,28,7,,,,
,,,,,,,,,,,,,,74,32,7,,,,
,,,,,,,,,,,,,,74,16,6,,,,
,,,,,,,,,,,,,,79,16,8,,,,
,,,,,,,,,,,,,,79,11,8,,,,
,,,,,,,,,,,,,,79,19,7,,,,
,,,,,,,,,,,,,,79,10,8,,,,
,,,,,,,,,,,,,,79,3,9,,,,
,,,,,,,,,,,,,,79,23,8,,,,
,,,,,,,,,,,,,,79,32,7,,,,
,,,,,,,,,,,,,,79,31,5,,,,
,,,,,,,,,,,,,,79,14,7,,,,
,,,,,,,,,,,,,,79,5,6,,,,
,,,,,,,,,,,,,,80,7,8,,,,
,,,,,,,,,,,,,,80,19,7,,,,
,,,,,,,,,,,,,,80,30,8,,,,
,,,,,,,,,,,,,,80,9,9,,,,
,,,,,,,,,,,,,,80,28,9,,,,
,,,,,,,,,,,,,,80,31,8,,,,
,,,,,,,,,,,,,,80,22,10,,,,
,,,,,,,,,,,,,,80,5,7,,,,
,,,,,,,,,,,,,,80,8,8,,,,
,,,,,,,,,,,,,,80,2,9,,,,
,,,,,,,,,,,,,,84,25,1,,,,
,,,,,,,,,,,,,,84,2,10,,,,
,,,,,,,,,,,,,,84,31,9,,,,
,,,,,,,,,,,,,,84,28,10,,,,
,,,,,,,,,,,,,,84,21,1,,,,
,,,,,,,,,,,,,,84,7,10,,,,
,,,,,,,,,,,,,,84,30,9,,,,
,,,,,,,,,,,,,,84,14,10,,,,
,,,,,,,,,,,,,,84,17,9,,,,
,,,,,,,,,,,,,,84,26,1,,,,
,,,,,,,,,,,,,,85,18,1,,,,
,,,,,,,,,,,,,,85,30,1,,,,
,,,,,,,,,,,,,,85,25,1,,,,
,,,,,,,,,,,,,,85,1,10,,,,
,,,,,,,,,,,,,,85,15,1,,,,
,,,,,,,,,,,,,,85,2,10,,,,
,,,,,,,,,,,,,,85,4,10,,,,
,,,,,,,,,,,,,,85,14,1,,,,
,,,,,,,,,,,,,,85,17,1,,,,
,,,,,,,,,,,,,,85,21,1,,,,
,,,,,,,,,,,,,,91,31,8,,,,
,,,,,,,,,,,,,,91,16,7,,,,
,,,,,,,,,,,,,,91,1,9,,,,
,,,,,,,,,,,,,,91,2,9,,,,
,,,,,,,,,,,,,,91,15,6,,,,
,,,,,,,,,,,,,,91,22,5,,,,
,,,,,,,,,,,,,,91,19,8,,,,
,,,,,,,,,,,,,,91,21,8,,,,
,,,,,,,,,,,,,,91,12,9,,,,
,,,,,,,,,,,,,,91,11,7,,,,
,,,,,,,,,,,,,,95,17,9,,,,
,,,,,,,,,,,,,,95,22,10,,,,
,,,,,,,,,,,,,,95,30,5,,,,
,,,,,,,,,,,,,,95,25,9,,,,
,,,,,,,,,,,,,,95,29,6,,,,
,,,,,,,,,,,,,,95,27,7,,,,
,,,,,,,,,,,,,,95,6,7,,,,
,,,,,,,,,,,,,,95,32,4,,,,
,,,,,,,,,,,,,,95,15,5,,,,
,,,,,,,,,,,,,,95,5,5,,,,
,,,,,,,,,,,,,,98,0,10,,,,
,,,,,,,,,,,,,,98,2,9,,,,
,,,,,,,,,,,,,,98,12,9,,,,
,,,,,,,,,,,,,,98,20,7,,,,
,,,,,,,,,,,,,,98,24,8,,,,
,,,,,,,,,,,,,,98,8,9,,,,
,,,,,,,,,,,,,,98,9,8,,,,
,,,,,,,,,,,,,,98,32,6,,,,
,,,,,,,,,,,,,,98,10,9,,,,
,,,,,,,,,,,,,,98,7,8,,,,
,,,,,,,,,,,,,,99,17,10,,,,
,,,,,,,,,,,,,,99,26,9,,,,
,,,,,,,,,,,,,,99,13,10,,,,
,,,,,,,,,,,,,,99,22,10,,,,
,,,,,,,,,,,,,,99,21,9,,,,
,,,,,,,,,,,,,,99,4,10,,,,
,,,,,,,,,,,,,,99,8,9,,,,
,,,,,,,,,,,,,,99,3,10,,,,
,,,,,,,,,,,,,,99,25,10,,,,
,,,,,,,,,,,,,,99,30,10,,,,
,,,,,,,,,,,,,,100,20,10,,,,
,,,,,,,,,,,,,,100,27,9,,,,
,,,,,,,,,,,,,,100,24,8,,,,
,,,,,,,,,,,,,,100,30,8,,,,
,,,,,,,,,,,,,,100,29,8,,,,
,,,,,,,,,,,,,,100,8,10,,,,
,,,,,,,,,,,,,,100,26,8,,,,
,,,,,,,,,,,,,,100,7,9,,,,
,,,,,,,,,,,,,,100,13,10,,,,
,,,,,,,,,,,,,,100,10,9,,,,
,,,,,,,,,,,,,,104,30,6,,,,
,,,,,,,,,,,,,,104,24,7,,,,
,,,,,,,,,,,,,,104,13,8,,,,
,,,,,,,,,,,,,,104,12,9,,,,
,,,,,,,,,,,,,,104,15,8,,,,
,,,,,,,,,,,,,,104,11,10,,,,
,,,,,,,,,,,,,,104,28,10,,,,
,,,,,,,,,,,,,,104,31,10,,,,
,,,,,,,,,,,,,,104,27,8,,,,
,,,,,,,,,,,,,,104,16,10,,,,
,,,,,,,,,,,,,,105,17,8,,,,
,,,,,,,,,,,,,,105,18,7,,,,
,,,,,,,,,,,,,,105,4,10,,,,
,,,,,,,,,,,,,,105,19,6,,,,
,,,,,,,,,,,,,,105,9,8,,,,
,,,,,,,,,,,,,,105,12,9,,,,
,,,,,,,,,,,,,,105,14,9,,,,
,,,,,,,,,,,,,,105,22,8,,,,
,,,,,,,,,,,,,,105,7,9,,,,
,,,,,,,,,,,,,,105,20,10,,,,
,,,,,,,,,,,,,,106,24,7,,,,
,,,,,,,,,,,,,,106,20,6,,,,
,,,,,,,,,,,,,,106,15,7,,,,
,,,,,,,,,,,,,,106,14,8,,,,
,,,,,,,,,,,,,,106,4,6,,,,
,,,,,,,,,,,,,,106,26,7,,,,
,,,,,,,,,,,,,,106,18,5,,,,
,,,,,,,,,,,,,,106,5,6,,,,
,,,,,,,,,,,,,,106,12,8,,,,
,,,,,,,,,,,,,,106,16,7,,,,
,,,,,,,,,,,,,,110,8,2,,,,
,,,,,,,,,,,,,,110,12,6,,,,
,,,,,,,,,,,,,,110,27,1,,,,
,,,,,,,,,,,,,,110,31,2,,,,
,,,,,,,,,,,,,,110,24,1,,,,
,,,,,,,,,,,,,,110,5,2,,,,
,,,,,,,,,,,,,,110,3,3,,,,
,,,,,,,,,,,,,,110,29,6,,,,
,,,,,,,,,,,,,,110,9,7,,,,
,,,,,,,,,,,,,,110,14,1,,,,
,,,,,,,,,,,,,,111,8,4,,,,
,,,,,,,,,,,,,,111,4,1,,,,
,,,,,,,,,,,,,,111,7,3,,,,
,,,,,,,,,,,,,,111,20,10,,,,
,,,,,,,,,,,,,,111,25,5,,,,
,,,,,,,,,,,,,,111,30,9,,,,
,,,,,,,,,,,,,,111,5,2,,,,
,,,,,,,,,,,,,,111,23,7,,,,
,,,,,,,,,,,,,,111,18,6,,,,
,,,,,,,,,,,,,,111,26,8,,,,
,,,,,,,,,,,,,,112,17,10,,,,
,,,,,,,,,,,,,,112,23,10,,,,
,,,,,,,,,,,,,,112,13,8,,,,
,,,,,,,,,,,,,,112,27,9,,,,
,,,,,,,,,,,,,,112,11,1,,,,
,,,,,,,,,,,,,,112,31,2,,,,
,,,,,,,,,,,,,,112,6,4,,,,
,,,,,,,,,,,,,,112,29,3,,,,
,,,,,,,,,,,,,,112,14,2,,,,
,,,,,,,,,,,,,,112,3,8,,,,
,,,,,,,,,,,,,,113,14,5,,,,
,,,,,,,,,,,,,,113,1,5,,,,
,,,,,,,,,,,,,,113,29,2,,,,
,,,,,,,,,,,,,,113,27,1,,,,
,,,,,,,,,,,,,,113,3,10,,,,
,,,,,,,,,,,,,,113,26,1,,,,
,,,,,,,,,,,,,,113,7,10,,,,
,,,,,,,,,,,,,,113,21,1,,,,
,,,,,,,,,,,,,,113,15,6,,,,
,,,,,,,,,,,,,,113,4,10,,,,
,,,,,,,,,,,,,,114,3,7,,,,
,,,,,,,,,,,,,,114,22,8,,,,
,,,,,,,,,,,,,,114,28,7,,,,
,,,,,,,,,,,,,,114,24,6,,,,
,,,,,,,,,,,,,,114,8,6,,,,
,,,,,,,,,,,,,,114,29,6,,,,
,,,,,,,,,,,,,,114,4,7,,,,
,,,,,,,,,,,,,,114,25,8,,,,
,,,,,,,,,,,,,,114,12,9,,,,
,,,,,,,,,,,,,,114,26,8,,,,
,,,,,,,,,,,,,,115,7,1,,,,
,,,,,,,,,,,,,,115,25,10,,,,
,,,,,,,,,,,,,,115,3,7,,,,
